Resolution,Accuracy,Loss,TrainingTime
16,66.14,0.8275999669223795,201.7355637550354
24,69.97,0.6371501315661403,286.8059482574463
32,70.62,0.4126270011334163,391.23216795921326
48,68.71,0.3155538357432236,741.3497133255005
64,67.39,0.1894558011875738,1242.9317646026611
